doc_id,source_id,pdf_filename,sensitivity_level,content_length,has_attachment_ref
enron_00042,,enron_00042.pdf,L1,732,1
enron_00043,,enron_00043.pdf,L2,240,0
enron_00044,,enron_00044.pdf,L4,2384,0
enron_00045,,enron_00045.pdf,L2,269,0
enron_00046,,enron_00046.pdf,L1,986,0
enron_00047,,enron_00047.pdf,L3,24665,0
enron_00048,,enron_00048.pdf,L2,2634,0
enron_00049,,enron_00049.pdf,L2,2530,1
enron_00050,,enron_00050.pdf,L4,1475,0
enron_00051,,enron_00051.pdf,L3,1195,0
enron_00052,,enron_00052.pdf,L2,468,0
enron_00053,,enron_00053.pdf,L2,150,0
enron_00054,,enron_00054.pdf,L3,372,1
enron_00055,,enron_00055.pdf,L1,178,0
enron_00056,,enron_00056.pdf,L1,567,0
enron_00057,,enron_00057.pdf,L1,939,0
enron_00058,,enron_00058.pdf,L3,1226,0
enron_00059,,enron_00059.pdf,L2,1237,0
enron_00060,,enron_00060.pdf,L3,1791,0
enron_00061,,enron_00061.pdf,L1,475,0
enron_00062,,enron_00062.pdf,L2,413,1
enron_00063,,enron_00063.pdf,L1,595,0
enron_00064,,enron_00064.pdf,L4,632,0
enron_00065,,enron_00065.pdf,L3,692,1
enron_00066,,enron_00066.pdf,L4,2096,1
enron_00067,,enron_00067.pdf,L2,184,0
enron_00068,,enron_00068.pdf,L1,931,0
enron_00069,,enron_00069.pdf,L3,590,0
enron_00070,,enron_00070.pdf,L1,535,0
enron_00071,,enron_00071.pdf,L2,1628,1
enron_00072,,enron_00072.pdf,L1,250,0
enron_00073,,enron_00073.pdf,L1,691,0
enron_00074,,enron_00074.pdf,L1,1131,0
enron_00075,,enron_00075.pdf,L4,11667,0
enron_00076,,enron_00076.pdf,L3,486,0
enron_00077,,enron_00077.pdf,L3,580,0
enron_00078,,enron_00078.pdf,L1,582,0
enron_00079,,enron_00079.pdf,L2,863,0
enron_00080,,enron_00080.pdf,L3,1461,1
enron_00081,,enron_00081.pdf,L1,87,0
enron_00082,,enron_00082.pdf,L1,537,0
enron_00083,,enron_00083.pdf,L4,1455,0
enron_00084,,enron_00084.pdf,L4,3646,1
enron_00085,,enron_00085.pdf,L1,242,0
enron_00086,,enron_00086.pdf,L3,4175,0
enron_00087,,enron_00087.pdf,L1,141,0
enron_00088,,enron_00088.pdf,L1,104,1
enron_00089,,enron_00089.pdf,L4,1728,1
enron_00090,,enron_00090.pdf,L4,2168,1
enron_00091,,enron_00091.pdf,L3,2699,0
enron_00092,,enron_00092.pdf,L3,5427,1
enron_00093,,enron_00093.pdf,L1,383,0
enron_00094,,enron_00094.pdf,L2,605,1
enron_00095,,enron_00095.pdf,L4,91098,0
enron_00096,,enron_00096.pdf,L1,380,0
enron_00097,,enron_00097.pdf,L2,2887,0
enron_00098,,enron_00098.pdf,L4,2468,1
enron_00099,,enron_00099.pdf,L1,850,1
enron_00100,,enron_00100.pdf,L4,4097,1
enron_00101,,enron_00101.pdf,L3,1300,0
enron_00102,,enron_00102.pdf,L3,1797,0
enron_00103,,enron_00103.pdf,L2,151,1
enron_00104,,enron_00104.pdf,L1,5364,0
enron_00105,,enron_00105.pdf,L1,226,0
enron_00106,,enron_00106.pdf,L1,356,1
enron_00107,,enron_00107.pdf,L2,849,0
enron_00108,,enron_00108.pdf,L2,444,1
enron_00109,,enron_00109.pdf,L1,722,0
enron_00110,,enron_00110.pdf,L3,1199,0
enron_00111,,enron_00111.pdf,L4,1351,0
enron_00112,,enron_00112.pdf,L2,356,0
enron_00113,,enron_00113.pdf,L2,2277,1
enron_00114,,enron_00114.pdf,L1,355,0
enron_00115,,enron_00115.pdf,L1,2029,1
enron_00116,,enron_00116.pdf,L2,77,1
enron_00117,,enron_00117.pdf,L2,4653,0
enron_00118,,enron_00118.pdf,L3,2433,1
enron_00119,,enron_00119.pdf,L2,1307,0
enron_00120,,enron_00120.pdf,L2,886,0
enron_00121,,enron_00121.pdf,L4,1365,0
enron_00122,,enron_00122.pdf,L3,12250,0
enron_00123,,enron_00123.pdf,L2,421,1
enron_00124,,enron_00124.pdf,L4,69962,0
enron_00125,,enron_00125.pdf,L2,1388,1
enron_00126,,enron_00126.pdf,L1,218,1
enron_00127,,enron_00127.pdf,L2,3581,0
enron_00128,,enron_00128.pdf,L3,784,1
enron_00129,,enron_00129.pdf,L3,1694,0
enron_00130,,enron_00130.pdf,L2,1257,1
enron_00131,,enron_00131.pdf,L2,1383,1
enron_00132,,enron_00132.pdf,L1,1074,0
enron_00133,,enron_00133.pdf,L1,308,1
enron_00134,,enron_00134.pdf,L2,3630,0
enron_00135,,enron_00135.pdf,L2,2689,1
enron_00136,,enron_00136.pdf,L2,1276,1
enron_00137,,enron_00137.pdf,L3,13392,1
enron_00138,,enron_00138.pdf,L2,1212,1
enron_00139,,enron_00139.pdf,L1,1216,0
enron_00140,,enron_00140.pdf,L2,1041,1
enron_00141,,enron_00141.pdf,L1,1936,0
enron_00142,,enron_00142.pdf,L4,3005,1
enron_00143,,enron_00143.pdf,L3,3028,1
enron_00144,,enron_00144.pdf,L2,320,1
enron_00145,,enron_00145.pdf,L1,1235,0
enron_00146,,enron_00146.pdf,L1,94,1
enron_00147,,enron_00147.pdf,L4,9701,1
enron_00148,,enron_00148.pdf,L4,2745,1
enron_00149,,enron_00149.pdf,L1,340,0
enron_00150,,enron_00150.pdf,L2,110,1
enron_00151,,enron_00151.pdf,L2,469,0
enron_00152,,enron_00152.pdf,L3,3879,0
enron_00153,,enron_00153.pdf,L2,731,0
enron_00154,,enron_00154.pdf,L2,6470,1
enron_00155,,enron_00155.pdf,L2,4028,0
enron_00156,,enron_00156.pdf,L3,870,0
enron_00157,,enron_00157.pdf,L3,7474,1
enron_00158,,enron_00158.pdf,L3,1794,1
enron_00159,,enron_00159.pdf,L3,253,0
enron_00160,,enron_00160.pdf,L3,575,0
enron_00161,,enron_00161.pdf,L2,1008,0
enron_00162,,enron_00162.pdf,L2,1384,0
enron_00163,,enron_00163.pdf,L1,3801,0
enron_00164,,enron_00164.pdf,L2,369,0
enron_00165,,enron_00165.pdf,L4,4663,1
enron_00166,,enron_00166.pdf,L3,1073,0
enron_00167,,enron_00167.pdf,L1,1225,0
enron_00168,,enron_00168.pdf,L1,150,0
enron_00169,,enron_00169.pdf,L4,948,0
enron_00170,,enron_00170.pdf,L1,697,1
enron_00171,,enron_00171.pdf,L1,60,0
enron_00172,,enron_00172.pdf,L3,2354,0
enron_00173,,enron_00173.pdf,L1,629,0
enron_00174,,enron_00174.pdf,L3,442,0
enron_00175,,enron_00175.pdf,L3,15347,0
enron_00176,,enron_00176.pdf,L1,775,0
enron_00177,,enron_00177.pdf,L1,693,0
enron_00178,,enron_00178.pdf,L2,10896,1
enron_00179,,enron_00179.pdf,L3,535,0
enron_00180,,enron_00180.pdf,L3,8010,1
enron_00181,,enron_00181.pdf,L1,3171,1
enron_00182,,enron_00182.pdf,L4,1196,1
enron_00183,,enron_00183.pdf,L2,581,0
enron_00184,,enron_00184.pdf,L2,984,0
enron_00185,,enron_00185.pdf,L4,3626,1
enron_00186,,enron_00186.pdf,L1,846,0
enron_00187,,enron_00187.pdf,L4,1808,1
enron_00188,,enron_00188.pdf,L2,1342,0
enron_00189,,enron_00189.pdf,L4,1949,1
enron_00190,,enron_00190.pdf,L2,950,1
enron_00191,,enron_00191.pdf,L1,1903,0
enron_00192,,enron_00192.pdf,L3,2114,1
enron_00193,,enron_00193.pdf,L2,182,1
enron_00194,,enron_00194.pdf,L1,50,0
enron_00195,,enron_00195.pdf,L1,389,0
enron_00196,,enron_00196.pdf,L1,970,0
enron_00197,,enron_00197.pdf,L3,3821,0
enron_00198,,enron_00198.pdf,L2,1835,0
enron_00199,,enron_00199.pdf,L3,7065,0
enron_00200,,enron_00200.pdf,L2,440,0
enron_00201,,enron_00201.pdf,L3,13254,0
enron_00202,,enron_00202.pdf,L3,2577,1
enron_00203,,enron_00203.pdf,L2,1610,1
enron_00204,,enron_00204.pdf,L1,1772,1
enron_00205,,enron_00205.pdf,L2,735,1
enron_00206,,enron_00206.pdf,L4,3673,0
enron_00207,,enron_00207.pdf,L3,181,0
enron_00208,,enron_00208.pdf,L2,2769,0
enron_00209,,enron_00209.pdf,L2,258,1
enron_00210,,enron_00210.pdf,L4,4454,1
enron_00211,,enron_00211.pdf,L3,1608,0
enron_00212,,enron_00212.pdf,L3,2256,1
enron_00213,,enron_00213.pdf,L2,2487,1
enron_00214,,enron_00214.pdf,L2,4830,0
enron_00215,,enron_00215.pdf,L4,1155,1
enron_00216,,enron_00216.pdf,L4,5457,0
enron_00217,,enron_00217.pdf,L4,2655,1
enron_00218,,enron_00218.pdf,L2,2027,1
enron_00219,,enron_00219.pdf,L1,1638,0
enron_00220,,enron_00220.pdf,L4,2995,0
enron_00221,,enron_00221.pdf,L2,1008,0
enron_00222,,enron_00222.pdf,L2,626,0
enron_00223,,enron_00223.pdf,L1,104,0
enron_00224,,enron_00224.pdf,L3,4563,0
enron_00225,,enron_00225.pdf,L1,1211,0
enron_00226,,enron_00226.pdf,L2,520,1
enron_00227,,enron_00227.pdf,L3,686,0
enron_00228,,enron_00228.pdf,L3,681,1
enron_00229,,enron_00229.pdf,L1,1000,0
enron_00230,,enron_00230.pdf,L1,2120,0
enron_00231,,enron_00231.pdf,L1,194,0
enron_00232,,enron_00232.pdf,L2,18277,1
enron_00233,,enron_00233.pdf,L4,2214,1
enron_00234,,enron_00234.pdf,L2,1375,0
enron_00235,,enron_00235.pdf,L2,3340,1
enron_00236,,enron_00236.pdf,L3,1345,1
enron_00237,,enron_00237.pdf,L4,2247,1
enron_00238,,enron_00238.pdf,L3,6067,0
enron_00239,,enron_00239.pdf,L3,697,0
enron_00240,,enron_00240.pdf,L3,2477,0
enron_00241,,enron_00241.pdf,L2,2470,0
enron_00242,,enron_00242.pdf,L3,3300,1
enron_00243,,enron_00243.pdf,L3,8355,0
enron_00244,,enron_00244.pdf,L2,496,1
enron_00245,,enron_00245.pdf,L2,377,0
enron_00246,,enron_00246.pdf,L2,2651,1
enron_00247,,enron_00247.pdf,L4,763,0
enron_00248,,enron_00248.pdf,L4,2832,1
enron_00249,,enron_00249.pdf,L2,830,0
enron_00250,,enron_00250.pdf,L2,2398,0
enron_00251,,enron_00251.pdf,L4,11582,0
enron_00252,,enron_00252.pdf,L1,671,1
enron_00253,,enron_00253.pdf,L2,3665,1
enron_00254,,enron_00254.pdf,L2,8720,0
enron_00255,,enron_00255.pdf,L2,253,0
enron_00256,,enron_00256.pdf,L2,565,0
enron_00257,,enron_00257.pdf,L2,3097,0
enron_00258,,enron_00258.pdf,L2,3845,1
enron_00259,,enron_00259.pdf,L1,177,0
enron_00260,,enron_00260.pdf,L3,2610,0
enron_00261,,enron_00261.pdf,L1,257,0
enron_00262,,enron_00262.pdf,L2,595,1
enron_00263,,enron_00263.pdf,L3,189,0
enron_00264,,enron_00264.pdf,L4,2379,0
enron_00265,,enron_00265.pdf,L1,472,1
enron_00266,,enron_00266.pdf,L1,464,0
enron_00267,,enron_00267.pdf,L3,456,1
enron_00268,,enron_00268.pdf,L3,6219,0
enron_00269,,enron_00269.pdf,L4,663,0
enron_00270,,enron_00270.pdf,L2,411,1
enron_00271,,enron_00271.pdf,L2,498,1
enron_00272,,enron_00272.pdf,L1,134,0
enron_00273,,enron_00273.pdf,L3,461,0
enron_00274,,enron_00274.pdf,L4,702,0
enron_00275,,enron_00275.pdf,L1,244,1
enron_00276,,enron_00276.pdf,L3,766,0
enron_00277,,enron_00277.pdf,L2,807,0
enron_00278,,enron_00278.pdf,L3,3984,0
enron_00279,,enron_00279.pdf,L1,403,0
enron_00280,,enron_00280.pdf,L4,851,0
enron_00281,,enron_00281.pdf,L4,5245,0
enron_00282,,enron_00282.pdf,L4,4345,1
enron_00283,,enron_00283.pdf,L2,214,0
enron_00284,,enron_00284.pdf,L1,131,0
enron_00285,,enron_00285.pdf,L2,7095,0
enron_00286,,enron_00286.pdf,L3,6538,1
enron_00287,,enron_00287.pdf,L3,1534,0
enron_00288,,enron_00288.pdf,L3,3308,0
enron_00289,,enron_00289.pdf,L2,722,1
enron_00290,,enron_00290.pdf,L2,78,1
enron_00291,,enron_00291.pdf,L1,190,0
enron_00292,,enron_00292.pdf,L3,71,0
enron_00293,,enron_00293.pdf,L3,8429,0
enron_00294,,enron_00294.pdf,L4,1131,0
enron_00295,,enron_00295.pdf,L2,1709,1
enron_00296,,enron_00296.pdf,L1,100,0
enron_00297,,enron_00297.pdf,L2,866,1
enron_00298,,enron_00298.pdf,L1,196,0
enron_00299,,enron_00299.pdf,L1,121,0
enron_00300,,enron_00300.pdf,L3,593,0
enron_00301,,enron_00301.pdf,L3,520,0
enron_00302,,enron_00302.pdf,L4,949,0
enron_00303,,enron_00303.pdf,L4,828,1
enron_00304,,enron_00304.pdf,L2,4190,0
enron_00305,,enron_00305.pdf,L1,263,0
enron_00306,,enron_00306.pdf,L2,963,1
enron_00307,,enron_00307.pdf,L3,4575,0
enron_00308,,enron_00308.pdf,L2,1626,0
enron_00309,,enron_00309.pdf,L3,11637,1
enron_00310,,enron_00310.pdf,L3,1214,0
enron_00311,,enron_00311.pdf,L4,7643,0
enron_00312,,enron_00312.pdf,L3,1119,0
enron_00313,,enron_00313.pdf,L4,1759,0
enron_00314,,enron_00314.pdf,L3,1482,0
enron_00315,,enron_00315.pdf,L2,481,0
enron_00316,,enron_00316.pdf,L3,769,1
enron_00317,,enron_00317.pdf,L3,403,0
enron_00318,,enron_00318.pdf,L2,263,0
enron_00319,,enron_00319.pdf,L1,1443,0
enron_00320,,enron_00320.pdf,L2,485,1
enron_00321,,enron_00321.pdf,L1,255,0
enron_00322,,enron_00322.pdf,L4,595,0
enron_00323,,enron_00323.pdf,L1,175,0
enron_00324,,enron_00324.pdf,L2,280,1
enron_00325,,enron_00325.pdf,L2,2942,0
enron_00326,,enron_00326.pdf,L3,1118,0
enron_00327,,enron_00327.pdf,L2,1668,0
enron_00328,,enron_00328.pdf,L3,883,0
enron_00329,,enron_00329.pdf,L3,2004,0
enron_00330,,enron_00330.pdf,L4,854,0
enron_00331,,enron_00331.pdf,L1,481,1
enron_00332,,enron_00332.pdf,L3,621,0
enron_00333,,enron_00333.pdf,L3,1214,0
enron_00334,,enron_00334.pdf,L1,187,0
enron_00335,,enron_00335.pdf,L2,299,0
enron_00336,,enron_00336.pdf,L4,1748,1
enron_00337,,enron_00337.pdf,L3,741,0
enron_00338,,enron_00338.pdf,L4,1063,0
enron_00339,,enron_00339.pdf,L1,159,0
enron_00340,,enron_00340.pdf,L2,852,1
enron_00341,,enron_00341.pdf,L1,482,0
enron_00342,,enron_00342.pdf,L3,120,0
enron_00343,,enron_00343.pdf,L2,2273,1
enron_00344,,enron_00344.pdf,L4,1444,1
enron_00345,,enron_00345.pdf,L1,269,0
enron_00346,,enron_00346.pdf,L1,390,0
enron_00347,,enron_00347.pdf,L2,1245,0
enron_00348,,enron_00348.pdf,L3,544,1
enron_00349,,enron_00349.pdf,L2,319,1
enron_00350,,enron_00350.pdf,L1,432,1
enron_00351,,enron_00351.pdf,L2,225,0
enron_00352,,enron_00352.pdf,L1,213,0
enron_00353,,enron_00353.pdf,L1,821,0
enron_00354,,enron_00354.pdf,L2,2561,0
enron_00355,,enron_00355.pdf,L2,1512,0
enron_00356,,enron_00356.pdf,L3,9215,0
enron_00357,,enron_00357.pdf,L1,2410,0
enron_00358,,enron_00358.pdf,L1,156,0
enron_00359,,enron_00359.pdf,L1,488,0
enron_00360,,enron_00360.pdf,L3,651,0
enron_00361,,enron_00361.pdf,L2,393,1
enron_00362,,enron_00362.pdf,L2,2024,1
enron_00363,,enron_00363.pdf,L3,2678,1
enron_00364,,enron_00364.pdf,L3,1477,0
enron_00365,,enron_00365.pdf,L2,985,1
enron_00366,,enron_00366.pdf,L1,285,0
enron_00367,,enron_00367.pdf,L3,5165,0
enron_00368,,enron_00368.pdf,L3,75,0
enron_00369,,enron_00369.pdf,L1,1206,1
enron_00370,,enron_00370.pdf,L2,3513,0
enron_00371,,enron_00371.pdf,L2,5625,1
enron_00372,,enron_00372.pdf,L3,694,1
enron_00373,,enron_00373.pdf,L2,1111,0
enron_00374,,enron_00374.pdf,L1,1908,0
enron_00375,,enron_00375.pdf,L3,289,0
enron_00376,,enron_00376.pdf,L2,475,0
enron_00377,,enron_00377.pdf,L3,2759,0
enron_00378,,enron_00378.pdf,L4,5559,1
enron_00379,,enron_00379.pdf,L3,54743,0
enron_00380,,enron_00380.pdf,L1,1779,0
enron_00381,,enron_00381.pdf,L3,16913,0
enron_00382,,enron_00382.pdf,L4,40615,0
enron_00383,,enron_00383.pdf,L1,652,0
enron_00384,,enron_00384.pdf,L1,121,0
enron_00385,,enron_00385.pdf,L1,1023,1
enron_00386,,enron_00386.pdf,L1,465,0
enron_00387,,enron_00387.pdf,L4,694,0
enron_00388,,enron_00388.pdf,L2,792,1
enron_00389,,enron_00389.pdf,L2,1248,0
enron_00390,,enron_00390.pdf,L2,298,0
enron_00391,,enron_00391.pdf,L4,1052,1
enron_00392,,enron_00392.pdf,L4,14197,0
enron_00393,,enron_00393.pdf,L1,555,0
enron_00394,,enron_00394.pdf,L1,733,0
enron_00395,,enron_00395.pdf,L3,1853,0
enron_00396,,enron_00396.pdf,L2,4490,0
enron_00397,,enron_00397.pdf,L1,190,0
enron_00398,,enron_00398.pdf,L2,442,1
enron_00399,,enron_00399.pdf,L1,584,0
enron_00400,,enron_00400.pdf,L2,5197,0
enron_00401,,enron_00401.pdf,L4,877,0
enron_00402,,enron_00402.pdf,L1,592,1
enron_00403,,enron_00403.pdf,L1,72,0
enron_00404,,enron_00404.pdf,L1,151,0
enron_00405,,enron_00405.pdf,L4,2172,1
enron_00406,,enron_00406.pdf,L4,4530,1
enron_00407,,enron_00407.pdf,L3,2042,1
enron_00408,,enron_00408.pdf,L1,265,0
enron_00409,,enron_00409.pdf,L3,21976,0
enron_00410,,enron_00410.pdf,L2,11086,0
enron_00411,,enron_00411.pdf,L3,1500,0
enron_00412,,enron_00412.pdf,L3,1177,0
enron_00413,,enron_00413.pdf,L3,3688,1
enron_00414,,enron_00414.pdf,L3,305,0
enron_00415,,enron_00415.pdf,L4,1158,1
enron_00416,,enron_00416.pdf,L3,5439,1
enron_00417,,enron_00417.pdf,L1,265,1
enron_00418,,enron_00418.pdf,L1,1398,0
enron_00419,,enron_00419.pdf,L4,5783,1
enron_00420,,enron_00420.pdf,L3,1582,1
enron_00421,,enron_00421.pdf,L3,13414,0
enron_00422,,enron_00422.pdf,L3,1995,0
enron_00423,,enron_00423.pdf,L2,1734,0
enron_00424,,enron_00424.pdf,L3,1079,0
enron_00425,,enron_00425.pdf,L1,721,0
enron_00426,,enron_00426.pdf,L4,1026,0
enron_00427,,enron_00427.pdf,L4,3675,0
enron_00428,,enron_00428.pdf,L2,4573,0
enron_00429,,enron_00429.pdf,L4,1723,0
enron_00430,,enron_00430.pdf,L2,2450,1
enron_00431,,enron_00431.pdf,L1,2538,0
enron_00432,,enron_00432.pdf,L1,108,0
enron_00433,,enron_00433.pdf,L2,1680,1
enron_00434,,enron_00434.pdf,L3,1138,1
enron_00435,,enron_00435.pdf,L2,245,1
enron_00436,,enron_00436.pdf,L2,1915,0
enron_00437,,enron_00437.pdf,L2,348,0
enron_00438,,enron_00438.pdf,L3,19860,0
enron_00439,,enron_00439.pdf,L3,7941,0
enron_00440,,enron_00440.pdf,L4,7010,1
enron_00441,,enron_00441.pdf,L3,25165,0
enron_00442,,enron_00442.pdf,L3,331,0
enron_00443,,enron_00443.pdf,L1,1600,1
enron_00444,,enron_00444.pdf,L1,500,0
enron_00445,,enron_00445.pdf,L2,5728,1
enron_00446,,enron_00446.pdf,L2,628,0
enron_00447,,enron_00447.pdf,L2,79,1
enron_00448,,enron_00448.pdf,L3,1289,1
enron_00449,,enron_00449.pdf,L2,182,0
enron_00450,,enron_00450.pdf,L4,1420,1
enron_00451,,enron_00451.pdf,L3,1779,1
enron_00452,,enron_00452.pdf,L4,1270,1
enron_00453,,enron_00453.pdf,L1,119,0
enron_00454,,enron_00454.pdf,L2,1533,0
enron_00455,,enron_00455.pdf,L2,336,0
enron_00456,,enron_00456.pdf,L3,276,0
enron_00457,,enron_00457.pdf,L3,2198,1
enron_00458,,enron_00458.pdf,L1,1350,0
enron_00459,,enron_00459.pdf,L1,309,1
enron_00460,,enron_00460.pdf,L1,353,0
enron_00461,,enron_00461.pdf,L1,413,0
enron_00462,,enron_00462.pdf,L3,2581,0
enron_00463,,enron_00463.pdf,L4,1308,1
enron_00464,,enron_00464.pdf,L2,4092,0
enron_00465,,enron_00465.pdf,L1,303,0
enron_00466,,enron_00466.pdf,L1,3881,0
enron_00467,,enron_00467.pdf,L3,471,0
enron_00468,,enron_00468.pdf,L4,1438,1
enron_00469,,enron_00469.pdf,L3,654,0
enron_00470,,enron_00470.pdf,L3,23460,1
enron_00471,,enron_00471.pdf,L2,1154,0
enron_00472,,enron_00472.pdf,L2,1360,0
enron_00473,,enron_00473.pdf,L3,1016,0
enron_00474,,enron_00474.pdf,L1,305,0
enron_00475,,enron_00475.pdf,L3,1510,0
enron_00476,,enron_00476.pdf,L1,310,0
enron_00477,,enron_00477.pdf,L2,516,0
enron_00478,,enron_00478.pdf,L4,3267,1
enron_00479,,enron_00479.pdf,L2,257,1
enron_00480,,enron_00480.pdf,L1,485,0
enron_00481,,enron_00481.pdf,L2,2748,0
enron_00482,,enron_00482.pdf,L1,481,0
enron_00483,,enron_00483.pdf,L2,836,0
enron_00484,,enron_00484.pdf,L2,3630,0
enron_00485,,enron_00485.pdf,L3,2128,0
enron_00486,,enron_00486.pdf,L1,1861,0
enron_00487,,enron_00487.pdf,L3,496,0
enron_00488,,enron_00488.pdf,L2,2981,0
enron_00489,,enron_00489.pdf,L3,1860,1
enron_00490,,enron_00490.pdf,L4,850,0
enron_00491,,enron_00491.pdf,L4,908,0
enron_00492,,enron_00492.pdf,L2,3689,0
enron_00493,,enron_00493.pdf,L2,2499,1
enron_00494,,enron_00494.pdf,L3,1588,1
enron_00495,,enron_00495.pdf,L1,475,0
enron_00496,,enron_00496.pdf,L1,463,0
enron_00497,,enron_00497.pdf,L2,1526,0
enron_00498,,enron_00498.pdf,L3,1606,1
enron_00499,,enron_00499.pdf,L3,1198,1
enron_00500,,enron_00500.pdf,L2,4911,1
enron_00501,,enron_00501.pdf,L2,3722,0
enron_00502,,enron_00502.pdf,L1,232,0
enron_00503,,enron_00503.pdf,L2,3288,0
enron_00504,,enron_00504.pdf,L4,1366,0
enron_00505,,enron_00505.pdf,L2,1903,0
enron_00506,,enron_00506.pdf,L3,183,0
enron_00507,,enron_00507.pdf,L3,245,0
enron_00508,,enron_00508.pdf,L2,1656,1
enron_00509,,enron_00509.pdf,L3,77827,0
enron_00510,,enron_00510.pdf,L4,677,0
enron_00511,,enron_00511.pdf,L4,5045,1
enron_00512,,enron_00512.pdf,L4,2544,0
enron_00513,,enron_00513.pdf,L2,285,1
enron_00514,,enron_00514.pdf,L1,869,0
enron_00515,,enron_00515.pdf,L1,369,0
enron_00516,,enron_00516.pdf,L4,2832,1
enron_00517,,enron_00517.pdf,L4,3867,0
enron_00518,,enron_00518.pdf,L2,2719,0
enron_00519,,enron_00519.pdf,L3,384,0
enron_00520,,enron_00520.pdf,L4,540,1
enron_00521,,enron_00521.pdf,L4,1225,0
enron_00522,,enron_00522.pdf,L1,106,0
enron_00523,,enron_00523.pdf,L4,3529,1
enron_00524,,enron_00524.pdf,L2,307,0
enron_00525,,enron_00525.pdf,L1,639,0
enron_00526,,enron_00526.pdf,L1,777,0
enron_00527,,enron_00527.pdf,L1,340,0
enron_00528,,enron_00528.pdf,L2,230,1
enron_00529,,enron_00529.pdf,L1,1265,0
enron_00530,,enron_00530.pdf,L1,940,1
enron_00531,,enron_00531.pdf,L2,284,0
enron_00532,,enron_00532.pdf,L4,1725,1
enron_00533,,enron_00533.pdf,L3,159,0
enron_00534,,enron_00534.pdf,L1,1040,0
enron_00535,,enron_00535.pdf,L4,325,1
enron_00536,,enron_00536.pdf,L4,2180,0
enron_00537,,enron_00537.pdf,L2,372,0
enron_00538,,enron_00538.pdf,L4,985,1
enron_00539,,enron_00539.pdf,L3,2909,0
enron_00540,,enron_00540.pdf,L1,382,0
enron_00541,,enron_00541.pdf,L2,573,1
enron_00542,,enron_00542.pdf,L3,346,1
enron_00543,,enron_00543.pdf,L4,4567,0
enron_00544,,enron_00544.pdf,L1,437,0
enron_00545,,enron_00545.pdf,L2,225,0
enron_00546,,enron_00546.pdf,L3,3501,1
enron_00547,,enron_00547.pdf,L2,197,0
enron_00548,,enron_00548.pdf,L2,1387,1
enron_00549,,enron_00549.pdf,L3,451,0
enron_00550,,enron_00550.pdf,L2,3477,0
enron_00551,,enron_00551.pdf,L3,3215,1
enron_00552,,enron_00552.pdf,L2,1542,1
enron_00553,,enron_00553.pdf,L2,309,0
enron_00554,,enron_00554.pdf,L4,94700,0
enron_00555,,enron_00555.pdf,L2,1605,0
enron_00556,,enron_00556.pdf,L1,611,0
enron_00557,,enron_00557.pdf,L2,519,1
enron_00558,,enron_00558.pdf,L4,3276,0
enron_00559,,enron_00559.pdf,L3,1790,0
enron_00560,,enron_00560.pdf,L2,813,1
enron_00561,,enron_00561.pdf,L3,2708,0
enron_00562,,enron_00562.pdf,L3,984,0
enron_00563,,enron_00563.pdf,L4,3896,0
enron_00564,,enron_00564.pdf,L4,2481,1
enron_00565,,enron_00565.pdf,L2,730,0
enron_00566,,enron_00566.pdf,L3,5451,0
