doc_id,original_path,local_filename,category_id,category_name,sensitivity_level
rvlcdip_00029,imagesj/j/k/r/jkr92a00/518765687+-5689.tif,rvlcdip_00029.tif,0,letter,L2
rvlcdip_00030,imagesi/i/g/l/igl40d00/518254873+-4879.tif,rvlcdip_00030.tif,11,invoice,L3
rvlcdip_00031,imagesn/n/u/i/nui04f00/0000309610.tif,rvlcdip_00031.tif,0,letter,L2
rvlcdip_00032,imagesi/i/t/a/ita24c00/2048616431.tif,rvlcdip_00032.tif,11,invoice,L3
rvlcdip_00033,imagesx/x/w/f/xwf52e00/2046158896_2046158899.tif,rvlcdip_00033.tif,15,memo,L2
rvlcdip_00034,imagesg/g/j/e/gje14c00/2069727824.tif,rvlcdip_00034.tif,7,specification,L4
rvlcdip_00035,imagesw/w/h/r/whr24f00/0000014163.tif,rvlcdip_00035.tif,15,memo,L2
rvlcdip_00036,imagesm/m/o/l/mol80a00/0060220695.tif,rvlcdip_00036.tif,8,file_folder,L1
rvlcdip_00037,imagesq/q/d/y/qdy35e00/2040957428_2040957429.tif,rvlcdip_00037.tif,10,budget,L3
rvlcdip_00038,imagesz/z/c/p/zcp05e00/2040798730.tif,rvlcdip_00038.tif,10,budget,L3
rvlcdip_00039,imageso/o/i/y/oiy00f00/0000450197.tif,rvlcdip_00039.tif,10,budget,L3
rvlcdip_00040,imagesi/i/k/k/ikk94f00/0060266646.tif,rvlcdip_00040.tif,11,invoice,L3
rvlcdip_00041,imagesw/w/y/r/wyr21a00/0071020341.tif,rvlcdip_00041.tif,11,invoice,L3
rvlcdip_00042,imagesg/g/e/o/geo57c00/2072984674_4675.tif,rvlcdip_00042.tif,10,budget,L3
rvlcdip_00043,imagesi/i/r/q/irq79e00/2024419051.tif,rvlcdip_00043.tif,10,budget,L3
rvlcdip_00044,imagesh/h/l/o/hlo00e00/91664841.tif,rvlcdip_00044.tif,11,invoice,L3
rvlcdip_00045,imagesc/c/k/n/ckn53c00/95602327.tif,rvlcdip_00045.tif,11,invoice,L3
rvlcdip_00046,imagesr/r/b/x/rbx31c00/2085726771b.tif,rvlcdip_00046.tif,2,email,L2
rvlcdip_00047,imagesk/k/b/j/kbj94d00/505880303.tif,rvlcdip_00047.tif,0,letter,L2
rvlcdip_00048,imagesm/m/a/s/mas3aa00/11242024_11242027.tif,rvlcdip_00048.tif,15,memo,L2
rvlcdip_00049,imagesh/h/n/i/hni84c00/98851081.tif,rvlcdip_00049.tif,10,budget,L3
rvlcdip_00050,imagesz/z/n/i/zni22e00/2501057472.tif,rvlcdip_00050.tif,10,budget,L3
rvlcdip_00051,imagesq/q/n/i/qni60f00/0012183093.tif,rvlcdip_00051.tif,7,specification,L4
rvlcdip_00052,imagesa/a/w/u/awu80e00/88131954.tif,rvlcdip_00052.tif,11,invoice,L3
rvlcdip_00053,imagesm/m/g/x/mgx20f00/0013122102.tif,rvlcdip_00053.tif,11,invoice,L3
rvlcdip_00054,imagesd/d/w/r/dwr78c00/82271268.tif,rvlcdip_00054.tif,1,form,L4
rvlcdip_00055,imagesr/r/e/w/rew95c00/2072597226_7227.tif,rvlcdip_00055.tif,10,budget,L3
rvlcdip_00056,imagesj/j/y/o/jyo85a00/530888454+-8455.tif,rvlcdip_00056.tif,2,email,L2
rvlcdip_00057,imagesu/u/y/h/uyh22f00/18004618.tif,rvlcdip_00057.tif,10,budget,L3
rvlcdip_00058,imagesw/w/c/m/wcm71e00/03638727.tif,rvlcdip_00058.tif,11,invoice,L3
rvlcdip_00059,imagesy/y/b/w/ybw99c00/50295992-5992.tif,rvlcdip_00059.tif,6,scientific_publication,L1
rvlcdip_00060,imagesc/c/i/m/cim65c00/2081499194.tif,rvlcdip_00060.tif,2,email,L2
rvlcdip_00061,imagesd/d/r/n/drn50e00/93499816.tif,rvlcdip_00061.tif,1,form,L4
rvlcdip_00062,imagesi/i/u/u/iuu91a00/2063116826.tif,rvlcdip_00062.tif,11,invoice,L3
rvlcdip_00063,imagesg/g/k/n/gkn20a00/10165421_10165427.tif,rvlcdip_00063.tif,6,scientific_publication,L1
rvlcdip_00064,imagesq/q/q/i/qqi89e00/0000046191.tif,rvlcdip_00064.tif,7,specification,L4
rvlcdip_00065,imagesg/g/o/m/gom18c00/502420759+-0759.tif,rvlcdip_00065.tif,0,letter,L2
rvlcdip_00066,imagesa/a/x/t/axt02d00/71148931.tif,rvlcdip_00066.tif,0,letter,L2
rvlcdip_00067,imagesn/n/w/f/nwf64e00/1001845827.tif,rvlcdip_00067.tif,1,form,L4
rvlcdip_00068,imagesp/p/g/j/pgj57d00/2047575453.tif,rvlcdip_00068.tif,15,memo,L2
rvlcdip_00069,imagesq/q/n/x/qnx36e00/2024671906.tif,rvlcdip_00069.tif,15,memo,L2
rvlcdip_00070,imagesv/v/m/p/vmp82f00/tob07128.83.tif,rvlcdip_00070.tif,10,budget,L3
rvlcdip_00071,imagesz/z/v/c/zvc02f00/okl00204.94_okl00205.01.tif,rvlcdip_00071.tif,10,budget,L3
rvlcdip_00072,imageso/o/u/x/oux82e00/2047933469.tif,rvlcdip_00072.tif,10,budget,L3
rvlcdip_00073,imagesp/p/f/p/pfp42f00/13006852.tif,rvlcdip_00073.tif,10,budget,L3
rvlcdip_00074,imagesv/v/v/y/vvy54d00/506538568.tif,rvlcdip_00074.tif,7,specification,L4
rvlcdip_00075,imagesn/n/x/r/nxr89c00/50282381-2386.tif,rvlcdip_00075.tif,6,scientific_publication,L1
rvlcdip_00076,imagesb/b/h/p/bhp54a00/91876525.tif,rvlcdip_00076.tif,11,invoice,L3
rvlcdip_00077,imagesu/u/w/h/uwh11e00/87097343.tif,rvlcdip_00077.tif,8,file_folder,L1
rvlcdip_00078,imagesw/w/i/y/wiy12f00/24012582.tif,rvlcdip_00078.tif,10,budget,L3
rvlcdip_00079,imageso/o/i/d/oid02f00/okl00201.00.tif,rvlcdip_00079.tif,10,budget,L3
rvlcdip_00080,imagesw/w/i/a/wia74c00/91511221.tif,rvlcdip_00080.tif,11,invoice,L3
rvlcdip_00081,imagesg/g/z/u/gzu60c00/2076508425_8426.tif,rvlcdip_00081.tif,15,memo,L2
rvlcdip_00082,imagesn/n/f/e/nfe64d00/506487562.tif,rvlcdip_00082.tif,1,form,L4
rvlcdip_00083,imagesc/c/a/k/cak40f00/0000731786.tif,rvlcdip_00083.tif,0,letter,L2
rvlcdip_00084,imagesk/k/q/a/kqa32c00/2069741060.tif,rvlcdip_00084.tif,7,specification,L4
rvlcdip_00085,imagesn/n/t/h/nth39e00/2501614512.tif,rvlcdip_00085.tif,1,form,L4
rvlcdip_00086,imagesh/h/f/e/hfe84e00/1000220963_1000220964.tif,rvlcdip_00086.tif,15,memo,L2
rvlcdip_00087,imagese/e/u/y/euy39e00/2501305357_2501305362.tif,rvlcdip_00087.tif,5,scientific_report,L1
rvlcdip_00088,imagesh/h/y/w/hyw22c00/2069738195.tif,rvlcdip_00088.tif,7,specification,L4
rvlcdip_00089,imageso/o/q/s/oqs61a00/2055593549_2055593552.tif,rvlcdip_00089.tif,7,specification,L4
rvlcdip_00090,imagesq/q/r/q/qrq71f00/2022181488_2022181489.tif,rvlcdip_00090.tif,5,scientific_report,L1
rvlcdip_00091,imagesa/a/i/d/aid33e00/2021006751_2021006753.tif,rvlcdip_00091.tif,6,scientific_publication,L1
rvlcdip_00092,imageso/o/d/k/odk11e00/87064573.tif,rvlcdip_00092.tif,11,invoice,L3
rvlcdip_00093,imagesj/j/w/q/jwq8aa00/50058552.tif,rvlcdip_00093.tif,15,memo,L2
rvlcdip_00094,imagesq/q/z/n/qzn22f00/04003052.tif,rvlcdip_00094.tif,10,budget,L3
rvlcdip_00095,imagese/e/k/f/ekf60a00/0060374371.tif,rvlcdip_00095.tif,15,memo,L2
rvlcdip_00096,imagesc/c/t/p/ctp91a00/2024987554_2024987566.tif,rvlcdip_00096.tif,6,scientific_publication,L1
rvlcdip_00097,imagesh/h/j/t/hjt76e00/2041585555.tif,rvlcdip_00097.tif,10,budget,L3
rvlcdip_00098,imagesm/m/z/h/mzh43d00/512001380.tif,rvlcdip_00098.tif,0,letter,L2
rvlcdip_00099,imageso/o/m/a/oma24f00/0000037014.tif,rvlcdip_00099.tif,10,budget,L3
rvlcdip_00100,imageso/o/r/q/orq35e00/2040758427.tif,rvlcdip_00100.tif,1,form,L4
rvlcdip_00101,imagesx/x/c/j/xcj13f00/0000537166.tif,rvlcdip_00101.tif,10,budget,L3
rvlcdip_00102,imagesf/f/s/a/fsa32d00/2502000691.tif,rvlcdip_00102.tif,1,form,L4
rvlcdip_00103,imagesq/q/v/x/qvx02a00/2022151840_2022151842.tif,rvlcdip_00103.tif,5,scientific_report,L1
rvlcdip_00104,imagesb/b/k/u/bku06c00/2048834936_4937.tif,rvlcdip_00104.tif,0,letter,L2
rvlcdip_00105,imagesb/b/r/g/brg25a00/527968265+-8278.tif,rvlcdip_00105.tif,2,email,L2
rvlcdip_00106,imagest/t/a/n/tan12f00/ton03521.42.tif,rvlcdip_00106.tif,0,letter,L2
rvlcdip_00107,imagesa/a/v/i/avi47c00/2084021858.tif,rvlcdip_00107.tif,11,invoice,L3
rvlcdip_00108,imagese/e/h/k/ehk14c00/2069724479.tif,rvlcdip_00108.tif,7,specification,L4
rvlcdip_00109,imagesc/c/d/o/cdo61f00/2051477108.tif,rvlcdip_00109.tif,7,specification,L4
rvlcdip_00110,imageso/o/e/k/oek17e00/2031317816.tif,rvlcdip_00110.tif,7,specification,L4
rvlcdip_00111,imagesj/j/s/f/jsf15c00/2082025808.tif,rvlcdip_00111.tif,8,file_folder,L1
rvlcdip_00112,imagesk/k/y/a/kya67d00/2028351345_1346.tif,rvlcdip_00112.tif,6,scientific_publication,L1
rvlcdip_00113,imagesv/v/n/l/vnl17d00/2071862641a.tif,rvlcdip_00113.tif,2,email,L2
rvlcdip_00114,imagesx/x/i/q/xiq14c00/2069721180.tif,rvlcdip_00114.tif,7,specification,L4
rvlcdip_00115,imagesi/i/w/i/iwi23d00/513168386.tif,rvlcdip_00115.tif,11,invoice,L3
rvlcdip_00116,imagesm/m/q/t/mqt17e00/2031426516.tif,rvlcdip_00116.tif,5,scientific_report,L1
rvlcdip_00117,imagesy/y/f/j/yfj47c00/2084022419.tif,rvlcdip_00117.tif,11,invoice,L3
rvlcdip_00118,imagesp/p/n/v/pnv61e00/00350887_00350891.tif,rvlcdip_00118.tif,6,scientific_publication,L1
rvlcdip_00119,imagesh/h/y/v/hyv55e00/2042758459.tif,rvlcdip_00119.tif,8,file_folder,L1
rvlcdip_00120,imagesk/k/n/m/knm76c00/2077000081.tif,rvlcdip_00120.tif,11,invoice,L3
rvlcdip_00121,imagesx/x/l/y/xly22c00/2069739389.tif,rvlcdip_00121.tif,7,specification,L4
rvlcdip_00122,imagesb/b/f/v/bfv49c00/2505115376.tif,rvlcdip_00122.tif,0,letter,L2
rvlcdip_00123,imageso/o/z/j/ozj48d00/2063315062.tif,rvlcdip_00123.tif,11,invoice,L3
rvlcdip_00124,imagesk/k/w/k/kwk31a00/0071033369.tif,rvlcdip_00124.tif,11,invoice,L3
rvlcdip_00125,imagesr/r/v/u/rvu75c00/2078123075b.tif,rvlcdip_00125.tif,2,email,L2
rvlcdip_00126,imagesr/r/g/q/rgq93c00/2064713663_3668.tif,rvlcdip_00126.tif,6,scientific_publication,L1
rvlcdip_00127,imagesj/j/r/p/jrp63d00/509964001.tif,rvlcdip_00127.tif,1,form,L4
rvlcdip_00128,imagesn/n/v/g/nvg25c00/2505322527.tif,rvlcdip_00128.tif,5,scientific_report,L1
rvlcdip_00129,imagesw/w/s/u/wsu02e00/2028722763.tif,rvlcdip_00129.tif,11,invoice,L3
rvlcdip_00130,imagesz/z/r/x/zrx01a00/0001431690.tif,rvlcdip_00130.tif,7,specification,L4
rvlcdip_00131,imagesq/q/y/b/qyb34c00/96532938_2943.tif,rvlcdip_00131.tif,15,memo,L2
rvlcdip_00132,imagesy/y/p/t/ypt31e00/81072112.tif,rvlcdip_00132.tif,8,file_folder,L1
rvlcdip_00133,imagesn/n/x/g/nxg34c00/96355018.tif,rvlcdip_00133.tif,10,budget,L3
rvlcdip_00134,imagesk/k/v/f/kvf46c00/2070091939b.tif,rvlcdip_00134.tif,2,email,L2
rvlcdip_00135,imagesa/a/k/q/akq05e00/2040801438.tif,rvlcdip_00135.tif,10,budget,L3
rvlcdip_00136,imagesz/z/l/v/zlv92d00/515460326_515460327.tif,rvlcdip_00136.tif,0,letter,L2
rvlcdip_00137,imagese/e/c/w/ecw53e00/2030180035.tif,rvlcdip_00137.tif,15,memo,L2
rvlcdip_00138,imagest/t/t/u/ttu00d00/50350907-0907.tif,rvlcdip_00138.tif,8,file_folder,L1
rvlcdip_00139,imagesq/q/d/e/qde26c00/2083182318c.tif,rvlcdip_00139.tif,2,email,L2
rvlcdip_00140,imagesp/p/h/l/phl72c00/2078319705.tif,rvlcdip_00140.tif,2,email,L2
rvlcdip_00141,imagesr/r/x/y/rxy13f00/0000174769.tif,rvlcdip_00141.tif,10,budget,L3
rvlcdip_00142,imagesu/u/k/g/ukg9aa00/50082555_50082567.tif,rvlcdip_00142.tif,6,scientific_publication,L1
rvlcdip_00143,imagesg/g/n/v/gnv46d00/70006526-6526.tif,rvlcdip_00143.tif,8,file_folder,L1
rvlcdip_00144,imagesu/u/s/h/ush85c00/2076721399.tif,rvlcdip_00144.tif,11,invoice,L3
rvlcdip_00145,imagesl/l/g/m/lgm20a00/10154405.tif,rvlcdip_00145.tif,8,file_folder,L1
rvlcdip_00146,imagesx/x/j/o/xjo19c00/2084343561.tif,rvlcdip_00146.tif,0,letter,L2
rvlcdip_00147,imagesg/g/r/w/grw99e00/0000059714.tif,rvlcdip_00147.tif,7,specification,L4
rvlcdip_00148,imagesg/g/i/h/gih8aa00/11014025.tif,rvlcdip_00148.tif,0,letter,L2
rvlcdip_00149,imagest/t/m/y/tmy13d00/513401633_513401634.tif,rvlcdip_00149.tif,1,form,L4
rvlcdip_00150,imagesu/u/s/j/usj88e00/2020126934_2020126935.tif,rvlcdip_00150.tif,10,budget,L3
rvlcdip_00151,imagesb/b/t/m/btm25d00/505281017_505281018.tif,rvlcdip_00151.tif,7,specification,L4
rvlcdip_00152,imagesk/k/c/q/kcq88e00/2020346693_2020346695.tif,rvlcdip_00152.tif,10,budget,L3
rvlcdip_00153,imagesy/y/l/t/ylt9aa00/10431889.tif,rvlcdip_00153.tif,0,letter,L2
rvlcdip_00154,imagesj/j/g/n/jgn60a00/0060237129.tif,rvlcdip_00154.tif,15,memo,L2
rvlcdip_00155,imagesh/h/g/r/hgr76c00/2075574192a.tif,rvlcdip_00155.tif,2,email,L2
rvlcdip_00156,imagesy/y/b/w/ybw96e00/2058066683.tif,rvlcdip_00156.tif,8,file_folder,L1
rvlcdip_00157,imagesw/w/g/u/wgu34f00/0060361307.tif,rvlcdip_00157.tif,15,memo,L2
rvlcdip_00158,imagesr/r/m/y/rmy12d00/71184532.tif,rvlcdip_00158.tif,8,file_folder,L1
rvlcdip_00159,imagesn/n/q/e/nqe98c00/87248572.tif,rvlcdip_00159.tif,5,scientific_report,L1
rvlcdip_00160,imagesj/j/l/a/jla74c00/91542732.tif,rvlcdip_00160.tif,11,invoice,L3
rvlcdip_00161,imagesc/c/g/e/cge52c00/2074163302.tif,rvlcdip_00161.tif,1,form,L4
rvlcdip_00162,imagesl/l/o/x/lox84d00/505960728.tif,rvlcdip_00162.tif,0,letter,L2
rvlcdip_00163,imagesh/h/m/s/hms02c00/2085103824b.tif,rvlcdip_00163.tif,2,email,L2
rvlcdip_00164,imagesn/n/i/g/nig48c00/2083310066.tif,rvlcdip_00164.tif,10,budget,L3
rvlcdip_00165,imagesd/d/s/h/dsh00d00/50323855-3866.tif,rvlcdip_00165.tif,6,scientific_publication,L1
rvlcdip_00166,imagesy/y/c/t/yct05c00/2082064371.tif,rvlcdip_00166.tif,8,file_folder,L1
rvlcdip_00167,imagesx/x/b/h/xbh62f00/tob14912.74_tob14912.75.tif,rvlcdip_00167.tif,0,letter,L2
rvlcdip_00168,imagesf/f/b/a/fba78e00/2023682011.tif,rvlcdip_00168.tif,8,file_folder,L1
rvlcdip_00169,imagesl/l/l/v/llv15d00/505443877.tif,rvlcdip_00169.tif,0,letter,L2
rvlcdip_00170,imagesz/z/k/i/zki62d00/83644925.tif,rvlcdip_00170.tif,11,invoice,L3
rvlcdip_00171,imagesz/z/v/o/zvo27d00/2072389637e_9638.tif,rvlcdip_00171.tif,2,email,L2
rvlcdip_00172,imagesx/x/i/m/xim23f00/0000075038.tif,rvlcdip_00172.tif,15,memo,L2
rvlcdip_00173,imagesr/r/i/i/rii56c00/2075573339.tif,rvlcdip_00173.tif,11,invoice,L3
rvlcdip_00174,imagesq/q/q/a/qqa09d00/50423476-3476.tif,rvlcdip_00174.tif,0,letter,L2
rvlcdip_00175,imagesb/b/q/f/bqf96c00/2070709359_9360.tif,rvlcdip_00175.tif,1,form,L4
rvlcdip_00176,imagese/e/w/w/eww45c00/2051827224.tif,rvlcdip_00176.tif,8,file_folder,L1
rvlcdip_00177,imagesi/i/l/p/ilp08d00/2070864328a.tif,rvlcdip_00177.tif,2,email,L2
rvlcdip_00178,imagesq/q/b/t/qbt43e00/2020158127.tif,rvlcdip_00178.tif,8,file_folder,L1
rvlcdip_00179,imagesk/k/x/l/kxl02f00/ton01929.99_ton01930.19.tif,rvlcdip_00179.tif,10,budget,L3
rvlcdip_00180,imagesc/c/x/n/cxn41e00/80053153.tif,rvlcdip_00180.tif,8,file_folder,L1
rvlcdip_00181,imagesp/p/n/t/pnt02e00/2028724694.tif,rvlcdip_00181.tif,11,invoice,L3
rvlcdip_00182,imagese/e/g/i/egi63f00/0001209012.tif,rvlcdip_00182.tif,11,invoice,L3
rvlcdip_00183,imagesn/n/g/k/ngk25e00/2028608711_2028608713.tif,rvlcdip_00183.tif,5,scientific_report,L1
rvlcdip_00184,imagesb/b/f/a/bfa31c00/2085589483a.tif,rvlcdip_00184.tif,2,email,L2
rvlcdip_00185,imagesa/a/y/i/ayi47c00/2084022304.tif,rvlcdip_00185.tif,11,invoice,L3
rvlcdip_00186,imagesz/z/v/j/zvj66e00/2054505288.tif,rvlcdip_00186.tif,1,form,L4
rvlcdip_00187,imagesj/j/l/f/jlf46c00/2070213228b.tif,rvlcdip_00187.tif,2,email,L2
rvlcdip_00188,imagesb/b/g/u/bgu81c00/2081459753.tif,rvlcdip_00188.tif,2,email,L2
rvlcdip_00189,imagesz/z/i/i/zii99e00/0000399606.tif,rvlcdip_00189.tif,0,letter,L2
rvlcdip_00190,imagesl/l/e/j/lej19e00/2500063420.tif,rvlcdip_00190.tif,8,file_folder,L1
rvlcdip_00191,imagesy/y/u/x/yux20e00/93216708.tif,rvlcdip_00191.tif,10,budget,L3
rvlcdip_00192,imagesu/u/d/g/udg80e00/89680171.tif,rvlcdip_00192.tif,8,file_folder,L1
rvlcdip_00193,imagesl/l/f/h/lfh85f00/0060124745.tif,rvlcdip_00193.tif,8,file_folder,L1
rvlcdip_00194,imagest/t/i/g/tig14d00/507915853.tif,rvlcdip_00194.tif,0,letter,L2
rvlcdip_00195,imagesd/d/d/t/ddt26d00/50667676-7676.tif,rvlcdip_00195.tif,8,file_folder,L1
rvlcdip_00196,imagesm/m/o/p/mop35a00/97005629.tif,rvlcdip_00196.tif,10,budget,L3
rvlcdip_00197,imagesa/a/s/b/asb38e00/1001877643.tif,rvlcdip_00197.tif,15,memo,L2
rvlcdip_00198,imagesy/y/u/b/yub44a00/96332030.tif,rvlcdip_00198.tif,10,budget,L3
rvlcdip_00199,imagesn/n/p/i/npi63d00/86219672_9673.tif,rvlcdip_00199.tif,15,memo,L2
rvlcdip_00200,imagesr/r/k/e/rke41e00/81440868.tif,rvlcdip_00200.tif,11,invoice,L3
rvlcdip_00201,imagesc/c/s/b/csb86c00/2084108086.tif,rvlcdip_00201.tif,1,form,L4
rvlcdip_00202,imagesn/n/r/y/nry33e00/2043746769.tif,rvlcdip_00202.tif,8,file_folder,L1
rvlcdip_00203,imagesk/k/y/q/kyq25a00/92871010.tif,rvlcdip_00203.tif,1,form,L4
rvlcdip_00204,imagesr/r/o/v/rov36d00/50635645-5646.tif,rvlcdip_00204.tif,0,letter,L2
rvlcdip_00205,imagesx/x/i/r/xir02e00/2028729322.tif,rvlcdip_00205.tif,11,invoice,L3
rvlcdip_00206,imagesb/b/a/c/bac43e00/2042017055.tif,rvlcdip_00206.tif,8,file_folder,L1
rvlcdip_00207,imagesi/i/e/j/iej85c00/2074378104a.tif,rvlcdip_00207.tif,2,email,L2
rvlcdip_00208,imagesn/n/m/i/nmi20c00/2085787955a.tif,rvlcdip_00208.tif,2,email,L2
rvlcdip_00209,imagest/t/y/c/tyc76c00/2074222857_2860.tif,rvlcdip_00209.tif,6,scientific_publication,L1
rvlcdip_00210,imagesb/b/o/w/bow16e00/2041378670.tif,rvlcdip_00210.tif,10,budget,L3
rvlcdip_00211,imagesv/v/w/l/vwl44f00/0060342568.tif,rvlcdip_00211.tif,11,invoice,L3
rvlcdip_00212,imagesu/u/a/q/uaq17e00/2031295797.tif,rvlcdip_00212.tif,8,file_folder,L1
rvlcdip_00213,imagesu/u/v/a/uva01e00/91284293.tif,rvlcdip_00213.tif,15,memo,L2
rvlcdip_00214,imagest/t/d/c/tdc07d00/tnwl0052330.tif,rvlcdip_00214.tif,15,memo,L2
rvlcdip_00215,imagest/t/r/s/trs37e00/2029112127.tif,rvlcdip_00215.tif,5,scientific_report,L1
rvlcdip_00216,imagesc/c/d/k/cdk96e00/2057314142.tif,rvlcdip_00216.tif,5,scientific_report,L1
rvlcdip_00217,imagesl/l/n/r/lnr33a00/504568452+-8452.tif,rvlcdip_00217.tif,7,specification,L4
rvlcdip_00218,imagese/e/w/t/ewt08c00/60232264.tif,rvlcdip_00218.tif,8,file_folder,L1
rvlcdip_00219,imagesr/r/h/w/rhw11e00/87148875_87148877.tif,rvlcdip_00219.tif,11,invoice,L3
rvlcdip_00220,imagesv/v/v/k/vvk77d00/2076269903.tif,rvlcdip_00220.tif,1,form,L4
rvlcdip_00221,imagesg/g/l/b/glb55f00/0060075934.tif,rvlcdip_00221.tif,11,invoice,L3
rvlcdip_00222,imagesp/p/f/m/pfm60c00/2074809166_9171.tif,rvlcdip_00222.tif,6,scientific_publication,L1
rvlcdip_00223,imagesp/p/q/l/pql49c00/2082340944_0948.tif,rvlcdip_00223.tif,6,scientific_publication,L1
rvlcdip_00224,imagesq/q/r/p/qrp62c00/2077591831_1844.tif,rvlcdip_00224.tif,10,budget,L3
rvlcdip_00225,imagesd/d/g/s/dgs49d00/501267533.tif,rvlcdip_00225.tif,0,letter,L2
rvlcdip_00226,imagesm/m/z/h/mzh29c00/2084029933.tif,rvlcdip_00226.tif,2,email,L2
rvlcdip_00227,imagesd/d/s/d/dsd92a00/521094043+-4043.tif,rvlcdip_00227.tif,0,letter,L2
rvlcdip_00228,imagesz/z/s/y/zsy54a00/89978279_8298.tif,rvlcdip_00228.tif,5,scientific_report,L1
rvlcdip_00229,imagesp/p/i/j/pij05e00/2040788564_2040788576.tif,rvlcdip_00229.tif,10,budget,L3
rvlcdip_00230,imagesg/g/e/t/get23d00/512981618_512981670.tif,rvlcdip_00230.tif,11,invoice,L3
rvlcdip_00231,imagesh/h/i/y/hiy04c00/2063130934_0935.tif,rvlcdip_00231.tif,1,form,L4
rvlcdip_00232,imagese/e/u/v/euv02e00/2028720064_2028720065.tif,rvlcdip_00232.tif,11,invoice,L3
rvlcdip_00233,imagesk/k/v/u/kvu33a00/502527050+-7050.tif,rvlcdip_00233.tif,0,letter,L2
rvlcdip_00234,imagesi/i/m/r/imr98c00/82913574.tif,rvlcdip_00234.tif,15,memo,L2
rvlcdip_00235,imagesl/l/t/o/lto55c00/2082743489_3497.tif,rvlcdip_00235.tif,5,scientific_report,L1
rvlcdip_00236,imagesf/f/m/w/fmw16e00/2041379010.tif,rvlcdip_00236.tif,10,budget,L3
rvlcdip_00237,imagesz/z/i/q/ziq47d00/2065184180.tif,rvlcdip_00237.tif,8,file_folder,L1
rvlcdip_00238,imagesa/a/m/x/amx11e00/87147709.tif,rvlcdip_00238.tif,11,invoice,L3
